,Huber-Huber-RobustPALMRT-pval,OLS-L2-PALMRT-pval,F-test-pval
667,0.008,0.094,0.07299224289083343
668,0.001,0.004,0.0026256925500874055
669,0.4625,0.738,0.7299396357407184
670,0.1175,0.5405,0.5285207813100017
671,0.038,0.091,0.07076507772451848
672,0.088,0.038,0.027963516581178082
673,0.002,0.03,0.026481119657870172
674,0.034,0.041,0.030091270715936737
675,0.12,0.096,0.06886419101268137
676,0.034,0.523,0.5409887201460807
677,0.3515,0.86,0.9712406633862434
678,0.133,0.0605,0.04521765161878848
679,0.1375,0.215,0.1771452574541492
680,0.019,0.2815,0.23243637355753027
681,0.619,0.592,0.5750810514192326
682,0.011,0.206,0.20622357313091527
683,0.618,0.8665,0.9673841585971937
684,0.591,0.8115,0.8595893001972621
685,0.101,0.097,0.07026357974823555
686,0.052,0.2505,0.21445223794084237
687,0.308,0.2685,0.26162827222012314
688,0.042,0.045,0.026387126287405357
689,0.021,0.435,0.4109969812635689
690,0.033,0.169,0.15694539701111532
691,0.05,0.344,0.3346810802618666
692,0.3285,0.5615,0.5479588407218339
693,0.078,0.21,0.17906758464637654
694,0.073,0.086,0.06886220985899412
695,0.056,0.192,0.1678357633207664
696,0.028,0.077,0.05301305373047304
697,0.069,0.046,0.028048211989493654
698,0.3805,0.7835,0.7949936013944783
699,0.011,0.057,0.04108461180130183
700,0.148,0.549,0.5179935695383369
701,0.09,0.4335,0.4275930886423752
702,0.729,0.539,0.5481351789794027
703,0.5185,0.732,0.7375611995748292
704,0.063,0.084,0.05969389362092458
705,0.087,0.104,0.07860886764169207
706,0.167,0.327,0.28003963028788353
707,0.029,0.158,0.14518783039870828
708,0.03,0.2365,0.22891636502307652
709,0.206,0.366,0.3339007198639157
710,0.4915,0.4205,0.384612713054296
711,0.004,0.1075,0.0928031984386808
712,0.028,0.036,0.029380186081083018
713,0.018,0.208,0.20926545784164763
714,0.007,0.032,0.0258538353705726
715,0.6915,0.7855,0.8008875911788411
716,0.1785,0.484,0.4585558564887888
717,0.14,0.08,0.07848170860857996
718,0.3835,0.4385,0.42277638462102907
719,0.097,0.19,0.1568831983557199
720,0.091,0.1925,0.17895410107455959
721,0.007,0.3085,0.267530164134286
722,0.117,0.7655,0.7790084971279718
723,0.253,0.8025,0.8121938035920749
724,0.028,0.428,0.3962416683208626
725,0.002,0.005,0.0038725973550933395
726,0.322,0.3005,0.2808781948559704
727,0.723,0.599,0.5719602712815193
728,0.041,0.027,0.013466111766856376
729,0.7795,0.799,0.7853317854556474
730,0.014,0.204,0.1675386703064039
731,0.285,0.2435,0.2156332640833429
732,0.068,0.113,0.0967919515099439
733,0.036,0.5745,0.5323007368113022
734,0.0115,0.004,0.0016212646354802505
735,0.202,0.214,0.18528512606611533
736,0.066,0.7885,0.8202714726074041
737,0.208,0.231,0.19380107703002736
738,0.244,0.361,0.35760602698448996
739,0.011,0.0455,0.03469190536470408
740,0.2525,0.69,0.6918212631226076
741,0.015,0.035,0.03608640331638676
742,0.236,0.8245,0.8319392263964508
743,0.092,0.024,0.018847331985622832
744,0.223,0.3465,0.3340583512739784
745,0.303,0.7815,0.8023634580450382
746,0.022,0.144,0.12136958433157208
747,0.01,0.008,0.0036156852225873153
748,0.108,0.5905,0.552752990188911
749,0.0995,0.2685,0.22793735586365807
750,0.67,0.6835,0.7210898930411311
751,0.116,0.6465,0.6489513021567703
752,0.248,0.609,0.5838993336584319
753,0.042,0.037,0.033533989294056564
754,0.016,0.084,0.07036247067088698
755,0.5155,0.448,0.40310546399142166
756,0.1055,0.244,0.22038864117481805
757,0.142,0.441,0.42267651172359144
758,0.4215,0.733,0.728736545686399
